country,region,pop_growth,birth_rate,death_rate,maternal_mort_rate,infant_mort_rate,life_expectancy,total_fert_rate,living_with_hiv,hiv_deaths,literacy,gdp_per_capita,unemployment,inflation,adult_obesity,pop_below_poverty
San Marino,Europe,0.65,8.8,9.0,,4.2,83.5,1.52,,,99.9,59000.0,8.1,1.0,,
Sao Tome And Principe,Africa,1.58,29.7,6.3,130.0,41.7,66.3,3.82,1100.0,100.0,92.8,3200.0,12.2,5.7,12.4,66.2
Saudi Arabia,Middle East,1.6,14.7,3.4,17.0,11.3,76.2,1.95,8200.0,500.0,95.3,54500.0,6.0,-0.9,35.4,
Senegal,Africa,2.31,31.8,7.6,315.0,45.7,63.2,4.04,41000.0,1200.0,51.9,3500.0,48.0,1.3,8.8,46.7
Serbia,Europe,-0.47,8.8,13.5,12.0,5.6,76.3,1.46,3200.0,100.0,98.3,15100.0,14.1,3.1,21.5,8.9
Seychelles,Africa,0.6900000000000001,12.8,7.1,,9.3,75.6,1.83,,,95.9,29300.0,3.0,2.9,14.0,39.3
Sierra Leone,Africa,2.43,35.4,9.8,1120.0,63.6,59.8,4.62,78000.0,2600.0,43.2,1600.0,15.0,18.2,8.7,70.2
Singapore,Southeast Asia,1.73,8.9,3.6,8.0,2.3,86.0,0.87,7900.0,100.0,97.3,94100.0,2.25,0.6000000000000001,6.1,
Sint Maarten,Central America and the Caribbean,1.34,12.9,5.8,,7.5,78.8,2.02,,,,66800.0,12.0,4.0,,
Slovakia,Europe,-0.05,9.3,10.1,5.0,4.9,77.8,1.44,1200.0,100.0,,33100.0,5.0,1.3,20.5,12.3
Slovenia,Europe,0.01,8.7,10.3,7.0,1.7000000000000002,81.4,1.59,1000.0,100.0,99.7,34500.0,7.64,1.4,20.2,13.9
Solomon Islands,Oceania,1.84,23.6,3.8,104.0,13.4,76.2,2.97,,,,2200.0,,0.5,22.5,
Somalia,Africa,2.21,38.7,12.4,829.0,89.5,54.0,5.51,11000.0,1000.0,,,,1.5,8.3,
South Africa,Africa,0.97,19.2,9.3,119.0,27.8,64.8,2.22,7500000.0,72000.0,87.0,13600.0,28.53,5.3,28.3,16.6
South Sudan,Africa,2.7,38.8,11.4,1150.0,69.9,55.5,5.54,190000.0,9100.0,34.5,1600.0,,187.9,6.6,66.0
Spain,Europe,0.67,8.7,9.3,4.0,3.2,82.0,1.51,150000.0,1000.0,98.4,38400.0,14.13,2.0,23.8,21.1
Spratly Islands,Southeast Asia,,,,,,,,,,,,,,,
