country,region,pop_growth,birth_rate,death_rate,maternal_mort_rate,infant_mort_rate,life_expectancy,total_fert_rate,living_with_hiv,hiv_deaths,literacy,gdp_per_capita,unemployment,inflation,adult_obesity,pop_below_poverty
Grenada,Central America and the Caribbean,0.38,14.6,8.3,25.0,8.9,75.2,1.96,500.0,100.0,98.6,15100.0,24.0,0.9,21.3,38.0
Guam,Oceania,0.2,18.9,6.0,,10.8,77.0,2.84,,,,35600.0,4.5,1.0,,23.0
Guatemala,Central America and the Caribbean,1.6800000000000002,23.3,4.9,95.0,21.8,72.4,2.72,36000.0,1200.0,81.5,8200.0,2.3,4.4,21.2,59.3
Guernsey,Europe,0.26,9.8,9.2,,3.3,82.8,1.57,,,,52500.0,1.2,3.4,,
Guinea,Africa,2.76,36.1,8.4,576.0,52.4,63.2,4.92,110000.0,3100.0,30.4,2200.0,2.7,8.9,7.7,47.0
Guinea-Bissau,Africa,2.51,36.9,7.9,667.0,51.9,62.8,4.75,40000.0,1500.0,59.9,1900.0,,1.1,9.5,67.0
Guyana,South America,0.72,15.5,7.5,667.0,27.6,69.5,1.89,8700.0,200.0,88.5,8100.0,11.1,2.0,20.2,35.0
Haiti,Central America and the Caribbean,1.26,21.7,7.4,480.0,42.6,65.3,2.52,160000.0,2700.0,61.7,1800.0,40.6,14.7,22.7,58.5
Holy See (Vatican City),Europe,0.0,,,,,,,,,,,,,,
Honduras,Central America and the Caribbean,1.27,18.5,4.7,65.0,14.6,74.6,2.09,25000.0,1000.0,87.2,5600.0,5.6,3.9,21.4,29.6
Hong Kong,Southeast Asia,0.24,8.4,7.9,,2.7,83.2,1.21,,,,64500.0,2.93,1.5,,19.9
Hungary,Europe,-0.28,8.8,12.9,12.0,4.7,76.7,1.47,3700.0,100.0,99.1,29600.0,3.45,2.4,26.4,14.9
Iceland,Arctic Region,1.02,13.3,6.6,4.0,2.1,83.3,1.97,500.0,100.0,,52200.0,3.62,1.8,21.9,
India,Asia,1.1,18.2,7.3,145.0,35.4,69.7,2.35,2100000.0,69000.0,74.4,7200.0,8.5,3.6,3.9,21.9
Indonesia,Southeast Asia,0.79,15.4,6.6,177.0,20.4,73.7,2.04,640000.0,38000.0,95.7,12400.0,5.31,3.8,6.9,10.9
Iran,Middle East,1.1,16.3,5.3,16.0,14.9,74.5,1.94,59000.0,2500.0,85.5,20100.0,11.8,9.6,25.8,18.7
Iraq,Middle East,2.16,25.7,3.9,79.0,19.5,72.6,3.39,,,50.1,16700.0,16.0,0.1,30.4,23.0
Ireland,Europe,1.04,13.0,6.8,5.0,3.6,81.2,1.94,7500.0,100.0,,73200.0,4.98,0.30000000000000004,25.3,8.2
Isle Of Man,Europe,0.59,10.8,10.4,,3.9,81.6,1.9,,,,84600.0,1.1,4.1,,
Israel,Middle East,1.46,17.6,5.3,3.0,3.3,83.0,2.59,9000.0,100.0,97.8,36400.0,3.81,0.2,26.1,22.0
Italy,Europe,0.11,8.4,10.7,2.0,3.2,82.5,1.47,130000.0,1000.0,99.2,38200.0,9.88,1.3,19.9,29.9
Jamaica,Central America and the Caribbean,-0.07,16.1,7.5,80.0,11.6,75.2,2.07,32000.0,1000.0,88.7,9200.0,7.72,4.4,24.7,17.1
Jan Mayen,Arctic Region,,,,,,,,,,,,,,,
Japan,Asia,-0.27,7.3,10.2,5.0,1.9,86.0,1.43,30000.0,200.0,,42900.0,2.36,0.5,4.3,16.1
Jersey,Europe,0.72,12.7,7.9,,3.6,82.2,1.67,,,,56600.0,4.0,3.7,,
Jordan,Middle East,1.4,23.0,3.4,46.0,12.8,75.5,3.04,500.0,100.0,98.2,9200.0,19.1,3.3,35.5,14.2
Kazakhstan,Asia,0.89,16.4,8.2,10.0,17.9,72.0,2.16,33000.0,500.0,99.8,26300.0,4.8,7.4,21.0,2.6
Kenya,Africa,2.2,27.2,5.2,342.0,29.8,69.0,3.43,1500000.0,21000.0,81.5,3500.0,40.0,8.0,7.1,36.1
Kiribati,Oceania,1.09,20.5,6.9,92.0,29.2,67.5,2.25,,,,2000.0,30.6,0.4,46.0,
"Korea, North",Asia,0.51,14.5,9.4,89.0,20.0,71.6,1.92,,,100.0,1700.0,25.6,,6.8,
"Korea, South",Asia,0.39,8.2,6.8,11.0,3.0,82.6,1.29,,,98.0,39500.0,3.76,1.9,4.7,14.4
Kosovo,Europe,0.66,15.4,7.0,,30.2,72.7,1.95,,,,10900.0,30.5,1.5,,17.6
Kuwait,Middle East,1.27,18.0,2.3,12.0,6.5,78.6,2.26,1000.0,100.0,96.1,65800.0,1.1,1.5,37.9,
Kyrgyzstan,Asia,0.96,20.6,6.3,60.0,23.3,71.8,2.54,10000.0,500.0,99.6,3700.0,3.18,3.2,16.6,32.1
Laos,Southeast Asia,1.44,22.4,7.2,185.0,45.6,65.7,2.53,13000.0,500.0,84.7,7400.0,0.7000000000000001,0.8,5.3,22.0
Latvia,Europe,-1.12,9.2,14.6,19.0,5.0,75.4,1.53,5600.0,100.0,99.9,27700.0,6.14,2.9,23.6,25.5
Lebanon,Middle East,-6.68,13.6,5.4,29.0,6.8,78.3,1.71,2700.0,100.0,95.1,19600.0,9.7,4.5,32.0,28.6
Lesotho,Africa,0.16,23.2,15.4,544.0,41.5,53.0,2.5,340000.0,4800.0,79.4,3300.0,28.1,5.3,16.6,57.0
Liberia,Africa,2.71,37.3,7.0,661.0,47.4,64.7,4.9,47000.0,1900.0,48.3,1300.0,2.8,12.4,9.9,54.1
Libya,Africa,1.94,23.0,3.5,72.0,11.5,76.7,3.17,9500.0,500.0,91.0,9600.0,30.0,28.5,32.5,
Liechtenstein,Europe,0.75,10.4,7.8,,4.2,82.2,1.69,,,,139100.0,2.4,-0.4,,
Lithuania,Europe,-1.13,9.5,15.0,5.0,3.8,75.5,1.6,3400.0,100.0,99.8,32400.0,8.4,3.7,26.3,22.2
Luxembourg,Europe,1.8,11.6,7.3,5.0,3.3,82.6,1.62,1200.0,100.0,,105100.0,5.36,2.1,22.6,
Macau,Southeast Asia,0.64,7.9,4.9,,3.1,84.6,0.96,,,96.5,122000.0,2.0,1.2,,
Madagascar,Africa,2.39,29.9,6.2,335.0,37.8,67.3,3.78,39000.0,1400.0,74.8,1600.0,1.8,8.3,5.3,70.7
Malawi,Africa,3.3,40.1,7.2,349.0,39.5,63.2,5.31,1100000.0,13000.0,62.1,1200.0,20.4,12.2,5.8,50.7
Malaysia,Southeast Asia,1.29,18.3,5.3,29.0,11.4,75.9,2.43,88000.0,2700.0,93.7,29100.0,3.3,3.8,15.6,3.8
Maldives,Asia,-0.08,16.0,4.1,53.0,19.8,76.4,1.71,,,97.7,19200.0,2.9,2.3,8.6,15.0
Mali,Africa,2.95,42.2,9.0,562.0,64.0,61.6,5.72,140000.0,5800.0,35.5,2200.0,7.9,1.8,8.6,36.1
Malta,Europe,0.87,9.9,8.3,6.0,4.6,82.8,1.49,500.0,100.0,94.5,41900.0,0.78,1.3,28.9,16.3
Marshall Islands,Oceania,1.43,22.8,4.3,,17.4,74.1,2.86,,,98.3,3600.0,36.0,0.0,52.9,
Mauritania,Africa,2.09,29.0,7.5,766.0,47.9,64.5,3.65,5700.0,500.0,53.5,4500.0,10.2,2.3,12.7,31.0
Mauritius,Africa,0.54,12.6,7.3,61.0,9.0,76.5,1.73,11000.0,1000.0,91.3,22300.0,6.65,3.7,10.8,8.0
Mexico,North America,1.04,17.6,5.4,33.0,10.7,76.7,2.19,230000.0,4000.0,95.4,19900.0,3.49,6.0,28.9,46.2
"Micronesia, Federated States Of",Oceania,-0.6000000000000001,18.9,4.3,88.0,17.8,73.9,2.29,,,,3400.0,16.2,0.5,45.8,26.7
